bufferPosition,platform,cdnUrl
47721.376,Android,http://sns-video-hw.xhscdn.com/spectrum/01e328594e7c5876018370038355a0aac1_258.mp4
47720.662,Android,http://sns-video-hw.xhscdn.com/spectrum/01e2f8511a4fd00401837003829a04c6a2_258.mp4
